,Index,JobLine,NormorlizedJobLine
1633,1633,Created educational school handbook application for iOS devices utilizing XCode and Objective-C.,softwar develop creat educ school handbook applic io devic util xcode object
1634,1634,"Led a team of three employees on a project to implement a document imaging department within the logistics company Zip Express. Researched and organized software components to efficiently document image, OCR, and backup thousands of manifests per day. Teamed up with the nine branch managers of Zip Express to develop a system of checks and balances for scanning 100% of all documents. Successfully completed project ahead of schedule and under budget.",softwar develop led team three employe project implement document imag depart within logist compani zip express research organ softwar compon effici document imag ocr backup thousand manifest per day team nine branch manag zip express develop system check balanc scan document success complet project ahead schedul budget
1635,1635,Co-wrote and developed a mobile application that broadcasts radio interviews for a local motorcycle company. The application was developed using the cross-platform technology Cordova.,softwar develop co wrote develop mobil applic broadcast radio interview local motorcycl compani applic develop use cross platform technolog cordova
1636,1636,Administered Microsoft Exchange server and led project to migrate server to a hosted solution.,softwar develop administ microsoft exchang server led project migrat server host solut
1637,1637,Administered Microsoft Active Directory and DNS servers.,softwar develop administ microsoft activ directori dn server
1638,1638,"Project managed all aspects of IT infrastructure involved with moving Zip Express headquarters to a new location. This included all IT initiatives relating to operations, customer service call center, warehousing, and administration. Hired and supervised third party providers along with coordinating teams to work on special projects relevant to the move. The project was successfully completed on time and business operations were able to immediately begin at the new facility.",softwar develop project manag aspect inform technolog infrastructur involv move zip express headquart new locat includ inform technolog initi relat oper custom servic call center wareh administr hire supervis third parti provid along coordin team work special project relev move project success complet time busi oper abl immedi begin new facil
1639,1639,"Researched, configured, deployed, and managed an IP phone system to service three businesses. Converted all DID numbers to SIP trunks for each business and saved approximately $1500 per month on the cost of phone service.",softwar develop research configur deploy manag ip phone system servic three busi convert number sip trunk busi save approxim per month cost phone servic
1640,1640,"Installed, configured, and supported local area network (LAN), wide area network (WAN) and Internet system.",inform technolog network administr instal configur support local area network lan wide area network wan internet system
1641,1641,Maintained network hardware and software and monitored network to support network availability to end users.,inform technolog network administr maintain network hardwar softwar monitor network support network avail end user
1642,1642,Deployed antivirus and security solutions throughout entire system network.,inform technolog network administr deploy antiviru secur solut throughout entir system network
1643,1643,"Configured networks for smooth, reliable operation to meet business processes and objectives.",inform technolog network administr configur network smooth reliabl oper meet busi process object
1644,1644,Achieved project deadlines by coordinating with contractors to manage performance.,inform technolog network administr achiev project deadlin coordin contractor manag perform
1645,1645,Identified plans and resources required to meet project goals and objectives.,inform technolog network administr identifi plan resourc requir meet project goal object
1646,1646,"Performed day-to-day LAN and WAN administration, maintenance and support.",inform technolog network administr perform day day lan wan administr mainten support
1647,1647,"Facilitated smooth network operations for twenty-five on-site users, and total of hundred users across thirteen locations for $100 million inland Barge company",inform technolog network administr facilit smooth network oper twenti five site user total hundr user across thirteen locat million inland barg compani
1648,1648,"Installed, configured, and supported local area network (LAN), wide area network (WAN) and Internet system.",inform technolog network administr instal configur support local area network lan wide area network wan internet system
1649,1649,Maintained network hardware and software and monitored network to support network availability to end users.,inform technolog network administr maintain network hardwar softwar monitor network support network avail end user
1650,1650,Deployed antivirus and security solutions throughout entire system network.,inform technolog network administr deploy antiviru secur solut throughout entir system network
1651,1651,"Configured networks for smooth, reliable operation to meet business processes and objectives.",inform technolog network administr configur network smooth reliabl oper meet busi process object
1652,1652,Achieved project deadlines by coordinating with contractors to manage performance.,inform technolog network administr achiev project deadlin coordin contractor manag perform
1653,1653,Identified plans and resources required to meet project goals and objectives.,inform technolog network administr identifi plan resourc requir meet project goal object
1654,1654,Managed and monitored all installed systems for highest level of availability.,inform technolog intern manag monitor instal system highest level avail
1655,1655,"Managed installation, upgrade and deployment projects and provided on-site direction for network engineers.",inform technolog intern manag instal upgrad deploy project provid site direct network engin
1656,1656,"Managed use of various types of databases and configured, installed and upgraded new ones.",inform technolog intern manag use variou type databas configur instal upgrad new one
1657,1657,"Built and maintained network infrastructure consisting of Windows, and virtual products.",inform technolog intern built maintain network infrastructur consist window virtual product
1658,1658,"Participated in all phases of system development life cycle, from requirements analysis through system implementation.",inform technolog intern particip phase system develop life cycl requir analysi system implement
1659,1659,"Installed, configured, tested and maintained operating systems, application software and system management tools.",inform technolog intern instal configur test maintain oper system applic softwar system manag tool
1660,1660,"Resolved issues related to operational components for LAN, WAN and voice systems.",inform technolog intern resolv issu relat oper compon lan wan voic system
1661,1661,"Implemented network security equipment, including firewalls, two-factor authentication, and antivirus software for networks supporting users.",inform technolog intern implement network secur equip includ firewal two factor authent antiviru softwar network support user
1662,1662,Oversaw development and maintenance of organization computer systems and intranet.,inform technolog intern oversaw develop mainten organ comput system intranet
1663,1663,"Monitored and tested application performance to identify potential bottlenecks, develop solutions, and collaborate with developers on solution implementation.",inform technolog intern monitor test applic perform identifi potenti bottleneck develop solut collabor develop solut implement
1664,1664,Escalated project-related issues quickly to superiors and supported solutions.,inform technolog intern escal project relat issu quickli superior support solut
1665,1665,Pitched in to assist development team with special projects.,inform technolog intern pitch assist develop team special project
1666,1666,Implemented and administered advanced Microsoft technologies.,inform technolog intern implement administ advanc microsoft technolog
1667,1667,"Completed assignments such as management and migration of servers, development of web templates and interfaces, management of SQL databases and software testing.",inform technolog intern complet assign manag migrat server develop web templat interfac manag sql databas softwar test
1668,1668,Improved operations by working with team members and customers to find workable solutions.,inform technolog intern improv oper work team member custom find workabl solut
1669,1669,Created agendas and communication materials for team meetings.,inform technolog intern creat agenda commun materi team meet
1670,1670,Provided excellent service and attention to customers when face-to-face or through phone conversations.,inform technolog intern provid excel servic attent custom face face phone convers
1671,1671,Answered more than 20 calls per day to answer customer questions.,inform technolog intern answer call per day answer custom question
1672,1672,Earned reputation for good attendance and hard work.,inform technolog intern earn reput good attend hard work
1673,1673,Collaborated with others to discuss new comp opportunities.,inform technolog intern collabor other discuss new comp opportun
1674,1674,Utilized Microsoft 365 to compile data gathered from various sources.,inform technolog intern util microsoft compil data gather variou sourc
1675,1675,Improved customer satisfaction by finding creative solutions to problems.,inform technolog intern improv custom satisfact find creativ solut problem
1676,1676,Improved profit margins by streamlining operations and workflow and negotiating competitive vendor contracts.,inform technolog intern improv profit margin streamlin oper workflow negoti competit vendor contract
1677,1677,Recognized by management for providing exceptional customer service.,inform technolog intern recogn manag provid except custom servic
1678,1678,"Worked closely with team members to deliver project requirements, develop solutions and meet deadlines.",inform technolog intern work close team member deliv project requir develop solut meet deadlin
1679,1679,Teaching basic level computer troubleshooting and maintenance procedures,inform technolog instructor teach basic level comput troubleshoot mainten procedur
1680,1680,Also instruction simple network concepts and the OSI model,inform technolog instructor also instruct simpl network concept osi model
1681,1681,"Ethernet CAT5 cable construction, Subnet and VLSM are also covered in the curriculum",inform technolog instructor ethernet cat cabl construct subnet vlsm also cover curriculum
1682,1682,"We push the students with their new knowledge by building and programming an entire network with Cisco routers, switches, and end user devices.",inform technolog instructor push student new knowledg build program entir network cisco router switch end user devic
1683,1683,"Meticulously update student grades and performance through Intel-Link Fort Gordon SCDC SharePoint site, Black Board and DTMS. While maintaining local records with Excel scattergrams in accordance with TRADOC 350-5 .",inform technolog instructor meticul updat student grade perform intel link fort gordon scdc sharepoint site black board dtm maintain local record excel scattergram accord tradoc
1684,1684,Responsible for ensuring that all students fully comprehended the taught curriculum and provided support to students who required help to boost confidence and competencies,inform technolog instructor respons ensur student fulli comprehend taught curriculum provid support student requir help boost confid compet
1685,1685,Worked closely with the other instructors to ensure all avenues of the curriculum are met and delivered.,inform technolog instructor work close instructor ensur avenu curriculum met deliv
1686,1686,"Adopted distinctive teaching methodologies, documented all lessons, organized healthy group discussions.",inform technolog instructor adopt distinct teach methodolog document lesson organ healthi group discuss
1687,1687,Delivered 6 hours per day of instruction in theory and hands on programming labs,inform technolog instructor deliv hour per day instruct theori hand program lab
1688,1688,"Conduct classroom instruction, prepared daily lesson plans, administered tests, provided feedback on learning achievements.",inform technolog instructor conduct classroom instruct prepar daili lesson plan administ test provid feedback learn achiev
1689,1689,Ensure security of data stored on the company shared drive/file server.,inform technolog support ensur secur data store compani share drive file server
1690,1690,"Conduct Bi-weekly assent inventory for all computer, radio, telecommunications and peripheral.",inform technolog support conduct bi weekli assent inventori comput radio telecommun peripher
1691,1691,"Remote system administration, active directory and exchange account support.",inform technolog support remot system administr activ directori exchang account support
1692,1692,Troubleshoot network connectivity issues for all mobile devices and computers.,inform technolog support troubleshoot network connect issu mobil devic comput
1693,1693,"Actively verify security clearances, submit and review background checks",inform technolog support activ verifi secur clearanc submit review background check
1694,1694,Enforce proper handling of information based on classification and proper storage measures,inform technolog support enforc proper handl inform base classif proper storag measur
1695,1695,"Identify and disseminate potential security risks and update security policies., Provide full support to the tactical operations center for all radio and data communications.",inform technolog support identifi dissemin potenti secur risk updat secur polici provid full support tactic oper center radio data commun
1696,1696,Implement and troubleshoot all devices and recommend lifecycle upgrades.,inform technolog support implement troubleshoot devic recommend lifecycl upgrad
1697,1697,"Coordinated the daily functions of facility management, training updated Defense Training Management System (DTMS) and current operations",inform technolog support coordin daili function facil manag train updat defens train manag system dtm current oper
1698,1698,"Interpret policy; implement guidance, review unit readiness reports, and plan future operations.",inform technolog support interpret polici implement guidanc review unit readi report plan futur oper
1699,1699,Developing a PACE plan to ensure communication redundancy.,inform technolog support develop pace plan ensur commun redund
1700,1700,Conduct annual inspections on subordinate units and assess their readiness through Unit Status Reporting and recommend corrective action plans.,inform technolog support conduct annual inspect subordin unit assess readi unit statu report recommend correct action plan
1701,1701,"Prepare briefings, Yearly Training Briefs (YTB), and facilitate collective training through Unit Training System (UTS).",inform technolog support prepar brief yearli train brief ytb facilit collect train unit train system ut
1702,1702,"Responsible for supporting Mission Command to Six subordinate units with the following logistical capabilities; Ammunition Supply, Field Maintenance, Water Purification and Communication Management.",inform technolog support respons support mission command six subordin unit follow logist capabl ammunit suppli field mainten water purif commun manag
1703,1703,Complete training guidance for the Battalion Commander and develop training plans for the future.,inform technolog support complet train guidanc battalion command develop train plan futur
1704,1704,"Installed, configured and validated SharePoint 2010 for upgrade and migration from SP-2007",inform technolog support instal configur valid sharepoint upgrad migrat sp
1705,1705,"Administered SharePoint 2010 Enterprise environments with over 1,000 Intranet and Extranet for NATO users.",inform technolog support administ sharepoint enterpris environ intranet extranet nato user
1706,1706,"Created new Sites with Unique Permissions, List and Libraries, and included workflows and user groups",inform technolog support creat new site uniqu permiss list librari includ workflow user group
1707,1707,"Analyzed and monitored services and performance, and have governed access permission for NATO Intranet and Extranet SharePoint sites.",inform technolog support analyz monitor servic perform govern access permiss nato intranet extranet sharepoint site
1708,1708,"Led the IT Outsource transformation of 3 programming support and customer 5 onshore call centers into a 1
programming 2 customer support centers within 6 months for MySpace.com in supporting 80+M subscriber
utilizing 31 languages.",senior project manag led inform technolog outsourc transform program support custom onshor call center program custom support center within month myspac com support subscrib util languag
1709,1709,"Led team for software engineering services and supported key clients in development efforts, establishing standards, determining specifications and creating Service and Operational Level Agreements (SLA) and (OLA).",senior project manag led team softwar engin servic support key client develop effort establish standard determin specif creat servic oper level agreement sla ola
1710,1710,Virtualized all DFS and Applications systems into a SaaS environment.,senior project manag virtual df applic system saa environ
1711,1711,"Identified opportunities for application optimization, redesign, development and troubleshot and resolved user and application issues.",senior project manag identifi opportun applic optim redesign develop troubleshot resolv user applic issu
1712,1712,"Developed, tracked and controlled information technology operating budgets, cost, and benefit analyses for IT spending initiatives.",senior project manag develop track control inform technolog oper budget cost benefit analys inform technolog spend initi
1713,1713,"Reduced overall costs of programming, networks, and customer services 63% within 5 months.",senior project manag reduc overal cost program network custom servic within month
1714,1714,Support included 31 languages support for M80+ Subscribers.,senior project manag support includ languag support subscrib
1715,1715,Established quality-control measures and assignments.,senior project manag establish qualiti control measur assign
1716,1716,"Responsible for the overall quality of projects, ensured superior levels of performance and acted as the single point of contact for development, QA, project and product management teams.",senior project manag respons overal qualiti project ensur superior level perform act singl point contact develop qa project product manag team
1717,1717,Led the technical team activities for large-scale Services programs comprised of globally located engineers focusing on the customer's requirements by documenting the Key Performance Indicator (KPI) to measure success.,senior project manag led technic team activ larg scale servic program compris global locat engin focus custom requir document key perform indic kpi measur success
1718,1718,Work with departments and clients to determine resource requirements and procure desktops/laptops based on department or individual needs and skills.,inform technolog profession work depart client determin resourc requir procur desktop laptop base depart individu need skill
1719,1719,"Advise departments to move current server functions on individual computers to central servers in coordination with SAA, during project planning/software upgrades, and inquiries for hardware recommendations. Evaluated issues with new versions of required web-browsers for Enterprise applications.",inform technolog profession advis depart move current server function individu comput central server coordin saa project plan softwar upgrad inquiri hardwar recommend evalu issu new version requir web browser enterpris applic
1720,1720,"Enforce security policies for encrypting hard drives on UVM-owned systems and resolved issues when corresponding keys failed. Managed devices first with PGP and ability to enroll/delete systems in coordination with Identity Account Management, resolved encryption key issues and instructed individual users on usage/policy and ensuring drives were encrypted . Continued same practices and assistance when encryption method changed to Microsoft BitLocker.",inform technolog profession enforc secur polici encrypt hard drive uvm own system resolv issu correspond key fail manag devic first pgp abil enrol delet system coordin ident account manag resolv encrypt key issu instruct individu user usag polici ensur drive encrypt continu practic assist encrypt method chang microsoft bitlock
1721,1721,Diagnose and repair computer hardware and software. Investigate networking issues and perform troubleshooting to determine whether hardware or network source is source of problem. Coordinate details of findings with Network Services.,inform technolog profession diagnos repair comput hardwar softwar investig network issu perform troubleshoot determin whether hardwar network sourc sourc problem coordin detail find network servic
1722,1722,"Continually assist departments with cost-saving plans to reduce funding spent on individual printer and toner replacements, and moving to a 5-6 year replacement plan for all desktops and laptops.",inform technolog profession continu assist depart cost save plan reduc fund spent individu printer toner replac move year replac plan desktop laptop
1723,1723,Supervised and motivated engineering team members to surpass timeline and quality targets.,desktop engin supervisor supervis motiv engin team member surpass timelin qualiti target
1724,1724,Maintained high standard of work quality by monitoring team performance and proactively correcting identified deficiencies.,desktop engin supervisor maintain high standard work qualiti monitor team perform proactiv correct identifi defici
1725,1725,Coordinated projects at different stages with simultaneous deadlines and fast-paced schedules.,desktop engin supervisor coordin project differ stage simultan deadlin fast pace schedul
1726,1726,Worked effectively with stakeholders to address and resolve issues with desktop engineering work.,desktop engin supervisor work effect stakehold address resolv issu desktop engin work
1727,1727,"Met with users, vendors and technicians to determine computing requirements.",desktop engin supervisor met user vendor technician determin comput requir
1728,1728,Developed data security and disaster recovery procedures.,desktop engin supervisor develop data secur disast recoveri procedur
1729,1729,Provided company users with tech support for IT problems and account maintenance.,desktop engin supervisor provid compani user tech support inform technolog problem account mainten
1730,1730,Maintained knowledge of advances in information technology systems and applications.,desktop engin supervisor maintain knowledg advanc inform technolog system applic
1731,1731,Met with stakeholders to collaborate and resolve problems.,desktop engin supervisor met stakehold collabor resolv problem
1732,1732,"Recruited, trained and supervised IT department staff.",desktop engin supervisor recruit train supervis inform technolog depart staff
1733,1733,Procured IT resources for strategic and operational computing requirements.,desktop engin supervisor procur inform technolog resourc strateg oper comput requir
1734,1734,Trained employees on additional job positions to maintain coverage of roles.,desktop engin supervisor train employe addit job posit maintain coverag role
1735,1735,Recruited and hired qualified candidates to fill open positions.,desktop engin supervisor recruit hire qualifi candid fill open posit
1736,1736,Monitored staff performance and addressed issues.,desktop engin supervisor monitor staff perform address issu
1737,1737,Led team meetings and one-on-one coaching sessions to continuously improve performance.,desktop engin supervisor led team meet one one coach session continu improv perform
1738,1738,"Minimized staff turnover through appropriate selection, orientation and training.",desktop engin supervisor minim staff turnov appropri select orient train
1739,1739,Exercised good judgment and decision-making in escalating concerns and resolving issues.,desktop engin supervisor exercis good judgment decis make escal concern resolv issu
1740,1740,Lead a team of 8 employees.,desktop engin supervisor lead team employe
1741,1741,Oversaw daily performance of computer use and maintenance.,desktop engin oversaw daili perform comput use mainten
1742,1742,Troubleshot desktop and notebook issues with clients and Agency employees.,desktop engin troubleshot desktop notebook issu client agenc employe
1743,1743,Performed maintenance on 5000 desktop computers.,desktop engin perform mainten desktop comput
1744,1744,Assisted end users with diagnostics to resolve issues.,desktop engin assist end user diagnost resolv issu
1745,1745,"Provided software support and general technical solutions for operational, database and security requirements in applications.",desktop engin provid softwar support gener technic solut oper databas secur requir applic
1746,1746,Resolved service requests by individually troubleshooting and addressing user issues.,desktop engin resolv servic request individu troubleshoot address user issu
1747,1747,"Evaluated software testing, deployment and updates to maintain compliance with organizational mandates.",desktop engin evalu softwar test deploy updat maintain complianc organiz mandat
1748,1748,Responded to assistance requests from users and directed individuals through basic troubleshooting tasks.,desktop engin respond assist request user direct individu basic troubleshoot task
1749,1749,Provided senior technical support to both in-house staff and user departments for network applications.,desktop engin provid senior technic support hous staff user depart network applic
1750,1750,"Reports directly to CIO. Manager of department comprising of twenty- four full time IT professionals supporting 12 offices. Responsible for managing, training, mentoring, and continuous development of 24 employees including Desktop Engineering, Audio Visual, Deskside Support, and Service Desk Call Center.",senior inform technolog servic manag report directli cio manag depart compris twenti four full time inform technolog profession support offic respons manag train mentor continu develop employe includ desktop engin audio visual desksid support servic desk call center
1751,1751,"Chief Technology Buyer for entire Firm. Developed and maintained $20 Million Budget for IT Service department and developed IP application and support systems, integration procedures, and projects. Responsible for, asset management and life cycle management.",senior inform technolog servic manag chief technolog buyer entir firm develop maintain million budget inform technolog servic depart develop ip applic support system integr procedur project respons asset manag life cycl manag
1752,1752,Managed and reduced IT spending to support budgeting processes and TCO modeling procedures.,senior inform technolog servic manag manag reduc inform technolog spend support budget process tco model procedur
1753,1753,"Designed and led implementation of company-wide enterprise security strategy for network and hardware security, disaster recovery, data protection and information access across all major systems.",senior inform technolog servic manag design led implement compani wide enterpris secur strategi network hardwar secur disast recoveri data protect inform access across major system
1754,1754,"Successfully helped Firm personnel transition from in-office to all remote in March 2020 while onboarding over 600 new employees. Successfully kept computers on shelves during pandemic despite shortages while systematically overcoming logistic hurdles and improving imaging, packaging, and shipping processes.",senior inform technolog servic manag success help firm personnel transit offic remot march onboard new employe success kept comput shelv pandem despit shortag systemat overcom logist hurdl improv imag packag ship process
1755,1755,"Designated point person for for all Firm construction projects. Complex IT installations from ground up in New York City, Santa Monica, San Jose, Foster City and Washington DC. Oversaw major remodels in San Francisco and Mountain View offices. Managed teams of contractors and full time staff by coaching, mentoring and driving efficiency.",senior inform technolog servic manag design point person firm construct project complex inform technolog instal ground new york citi santa monica san jose foster citi washington dc oversaw major remodel san francisco mountain view offic manag team contractor full time staff coach mentor drive effici
1756,1756,"Guided implementation of company-wide enterprise security strategy for network and hardware, disaster recovery, data protection and endpoint protection.",senior inform technolog servic manag guid implement compani wide enterpris secur strategi network hardwar disast recoveri data protect endpoint protect
1757,1757,Negotiated software support contracts to drive cost savings. Supported budget process and Total Cost of Ownership modeling to manage and reduce Firm spending.,senior inform technolog servic manag negoti softwar support contract drive cost save support budget process total cost ownership model manag reduc firm spend
1758,1758,Analyzed network security and current infrastructure to assess areas in need of improvement and develop solutions while establishing cost-saving measures to alleviate compliance risk through software license audits.,senior inform technolog servic manag analyz network secur current infrastructur assess area need improv develop solut establish cost save measur allevi complianc risk softwar licens audit
1759,1759,"Reviewed and assessed architecture design, implementation, testing and deployment needs to identify project requirements and costs.",senior inform technolog servic manag review assess architectur design implement test deploy need identifi project requir cost
1760,1760,"Migrated Firm from on premises Microsoft Active Directory to Azure AD. Implemented Identity Management, Conditional Access, and Device Management including Windows 10/11, IOS, Android and MacOS. Experienced with both on premises and Cloud Architecture systems. Expert with Active Directory, Azure AD, SCCM, Intune, Microsoft 365, Cisco IP Telephony, and many other enterprise systems.",senior inform technolog servic manag migrat firm premis microsoft activ directori azur ad implement ident manag condit access devic manag includ window io android maco experienc premis cloud architectur system expert activ directori azur ad sccm intun microsoft cisco ip telephoni mani enterpris system
1761,1761,"Interviewed, hired, trained and mentored staff from small team of six to current team of twenty-four by coaching daily, leading performance reviews and offering constructive feedback. Researched and recommended innovative and automated approaches to routine tasks. Authored service level agreements for Service Desk/Help Desk operations. Fostered loyalty and low turn-over for IT staff.",senior inform technolog servic manag interview hire train mentor staff small team six current team twenti four coach daili lead perform review offer construct feedback research recommend innov autom approach routin task author servic level agreement servic desk help desk oper foster loyalti low turn inform technolog staff
1762,1762,Created storage allocation for new build and existing Windows servers and clusters.,senior inform technolog servic manag creat storag alloc new build exist window server cluster
1763,1763,"Winner of three Fenwick Finest awards for Outstanding Service, Mentoring, and Teamwork.",senior inform technolog servic manag winner three fenwick finest award outstand servic mentor teamwork
1764,1764,ILTA Member Liaison Silicon Valley (International Legal Technology Association),senior inform technolog servic manag ilta member liaison silicon valley intern legal technolog associ
1765,1765,"Reports directly to the CIO. Manager of department comprising of twenty- four full time IT professionals supporting 12 offices. Responsible for managing, training, mentoring, and continuous development of 24 employees including Desktop Engineering, Audio Visual, Deskside Support, and Service Desk Call Center.",senior inform technolog servic manag report directli cio manag depart compris twenti four full time inform technolog profession support offic respons manag train mentor continu develop employe includ desktop engin audio visual desksid support servic desk call center
1766,1766,"Chief Technology Buyer for the entire Firm. Developed and maintained $20 Million Budget for IT Service department and developed IP application and support systems, integration procedures, and projects. Responsible for, asset management and life cycle management.",senior inform technolog servic manag chief technolog buyer entir firm develop maintain million budget inform technolog servic depart develop ip applic support system integr procedur project respons asset manag life cycl manag
1767,1767,Managed and reduced IT spending to support budgeting processes and TCO modeling procedures.,senior inform technolog servic manag manag reduc inform technolog spend support budget process tco model procedur
1768,1768,"Designed and led implementation of company-wide enterprise security strategy for network and hardware security, disaster recovery, data protection and information access across all major systems.",senior inform technolog servic manag design led implement compani wide enterpris secur strategi network hardwar secur disast recoveri data protect inform access across major system
1769,1769,"Successfully helped Firm personnel transition from in-office to all remote in March 2020 while onboarding over 600 new employees. Successfully kept computers on the shelves during the pandemic despite shortages while systematically overcoming logistic hurdles and improving imaging, packaging, and shipping processes.",senior inform technolog servic manag success help firm personnel transit offic remot march onboard new employe success kept comput shelv pandem despit shortag systemat overcom logist hurdl improv imag packag ship process
1770,1770,"Designated point person for for all Firm construction projects. Complex IT installations from ground up in New York City, Santa Monica, San Jose, Foster City and Washington DC. Oversaw major remodels in the San Francisco and Mountain View offices. Managed teams of contractors and full time staff by coaching, mentoring and driving efficiency.",senior inform technolog servic manag design point person firm construct project complex inform technolog instal ground new york citi santa monica san jose foster citi washington dc oversaw major remodel san francisco mountain view offic manag team contractor full time staff coach mentor drive effici
1771,1771,"Guided implementation of company-wide enterprise security strategy for network and hardware, disaster recovery, data protection and endpoint protection.",senior inform technolog servic manag guid implement compani wide enterpris secur strategi network hardwar disast recoveri data protect endpoint protect
1772,1772,Negotiated software support contracts to drive cost savings. Supported budget process and Total Cost of Ownership modeling to manage and reduce Firm spending.,senior inform technolog servic manag negoti softwar support contract drive cost save support budget process total cost ownership model manag reduc firm spend
1773,1773,Analyzed network security and current infrastructure to assess areas in need of improvement and develop solutions while establishing cost-saving measures to alleviate compliance risk through software license audits.,senior inform technolog servic manag analyz network secur current infrastructur assess area need improv develop solut establish cost save measur allevi complianc risk softwar licens audit
1774,1774,"Reviewed and assessed architecture design, implementation, testing and deployment needs to identify project requirements and costs.",senior inform technolog servic manag review assess architectur design implement test deploy need identifi project requir cost
1775,1775,"Migrated Firm from on premises Microsoft Active Directory to Azure AD. Implemented Identity Management, Conditional Access, and Device Management including Windows 10/11, IOS, Android and MacOS. Experienced with both on premises and Cloud Architecture systems. Expert with Active Directory, Azure AD, SCCM, Intune, Microsoft 365, Cisco IP Telephony, and many other enterprise systems.",senior inform technolog servic manag migrat firm premis microsoft activ directori azur ad implement ident manag condit access devic manag includ window io android maco experienc premis cloud architectur system expert activ directori azur ad sccm intun microsoft cisco ip telephoni mani enterpris system
1776,1776,"Interviewed, hired, trained and mentored staff from small team of six to current team of twenty-four by coaching daily, leading performance reviews and offering constructive feedback. Researched and recommended innovative and automated approaches to routine tasks. Authored service level agreements for Service Desk/Help Desk operations. Fostered loyalty and low turn-over for IT staff.",senior inform technolog servic manag interview hire train mentor staff small team six current team twenti four coach daili lead perform review offer construct feedback research recommend innov autom approach routin task author servic level agreement servic desk help desk oper foster loyalti low turn inform technolog staff
1777,1777,Created storage allocation for new build and existing Windows servers and clusters.,senior inform technolog servic manag creat storag alloc new build exist window server cluster
1778,1778,"Winner of three Fenwick Finest awards for Outstanding Service, Mentoring, and Teamwork.",senior inform technolog servic manag winner three fenwick finest award outstand servic mentor teamwork
1779,1779,ILTA Member Liaison Silicon Valley (International Legal Technology Association),senior inform technolog servic manag ilta member liaison silicon valley intern legal technolog associ
1780,1780,"Reports directly to CIO. Manager of department comprising of twenty- four full time IT professionals supporting 12 offices. Responsible for managing, training, mentoring, and continuous development of 24 employees including Desktop Engineering, Audio Visual, Deskside Support, and Service Desk Call Center.",senior inform technolog servic manag report directli cio manag depart compris twenti four full time inform technolog profession support offic respons manag train mentor continu develop employe includ desktop engin audio visual desksid support servic desk call center
1781,1781,"Chief Technology Buyer for entire Firm. Developed and maintained $20 Million Budget for IT Service department and developed IP application and support systems, integration procedures, and projects. Responsible for, asset management and life cycle management.",senior inform technolog servic manag chief technolog buyer entir firm develop maintain million budget inform technolog servic depart develop ip applic support system integr procedur project respons asset manag life cycl manag
1782,1782,Managed and reduced IT spending to support budgeting processes and TCO modeling procedures.,senior inform technolog servic manag manag reduc inform technolog spend support budget process tco model procedur
1783,1783,"Designed and led implementation of company-wide enterprise security strategy for network and hardware security, disaster recovery, data protection and information access across all major systems.",senior inform technolog servic manag design led implement compani wide enterpris secur strategi network hardwar secur disast recoveri data protect inform access across major system
1784,1784,"Successfully helped Firm personnel transition from in-office to all remote in March 2020 while onboarding over 600 new employees. Successfully kept computers on shelves during pandemic despite shortages while systematically overcoming logistic hurdles and improving imaging, packaging, and shipping processes.",senior inform technolog servic manag success help firm personnel transit offic remot march onboard new employe success kept comput shelv pandem despit shortag systemat overcom logist hurdl improv imag packag ship process
1785,1785,"Designated point person for for all Firm construction projects. Complex IT installations from ground up in New York City, Santa Monica, San Jose, Foster City and Washington DC. Oversaw major remodels in San Francisco and Mountain View offices. Managed teams of contractors and full time staff by coaching, mentoring and driving efficiency.",senior inform technolog servic manag design point person firm construct project complex inform technolog instal ground new york citi santa monica san jose foster citi washington dc oversaw major remodel san francisco mountain view offic manag team contractor full time staff coach mentor drive effici
1786,1786,"Guided implementation of company-wide enterprise security strategy for network and hardware, disaster recovery, data protection and endpoint protection.",senior inform technolog servic manag guid implement compani wide enterpris secur strategi network hardwar disast recoveri data protect endpoint protect
1787,1787,Negotiated software support contracts to drive cost savings. Supported budget process and Total Cost of Ownership modeling to manage and reduce Firm spending.,senior inform technolog servic manag negoti softwar support contract drive cost save support budget process total cost ownership model manag reduc firm spend
1788,1788,Analyzed network security and current infrastructure to assess areas in need of improvement and develop solutions while establishing cost-saving measures to alleviate compliance risk through software license audits.,senior inform technolog servic manag analyz network secur current infrastructur assess area need improv develop solut establish cost save measur allevi complianc risk softwar licens audit
1789,1789,"Reviewed and assessed architecture design, implementation, testing and deployment needs to identify project requirements and costs.",senior inform technolog servic manag review assess architectur design implement test deploy need identifi project requir cost
1790,1790,"Migrated Firm from on premises Microsoft Active Directory to Azure AD. Implemented Identity Management, Conditional Access, and Device Management including Windows 10/11, IOS, Android and MacOS. Experienced with both on premises and Cloud Architecture systems. Expert with Active Directory, Azure AD, SCCM, Intune, Microsoft 365, Cisco IP Telephony, and many other enterprise systems.",senior inform technolog servic manag migrat firm premis microsoft activ directori azur ad implement ident manag condit access devic manag includ window io android maco experienc premis cloud architectur system expert activ directori azur ad sccm intun microsoft cisco ip telephoni mani enterpris system
